t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
3.415000,0.200000,0.106367,0.003000,12.342116,25.200077,149.807041,0.034502,0.034469,0.034469,0.000000
3.420000,0.200000,0.106382,0.003002,12.346201,25.208415,149.806928,0.034523,0.034490,0.034490,0.000000
3.425000,0.200000,0.106397,0.003004,12.350283,25.216747,149.806814,0.034544,0.034510,0.034510,0.000000
3.430000,0.200000,0.106412,0.003006,12.354362,25.225074,149.806701,0.034565,0.034531,0.034531,0.000000
3.435000,0.200000,0.106427,0.003008,12.358439,25.233395,149.806587,0.034586,0.034552,0.034552,0.000000
3.440000,0.200000,0.106442,0.003009,12.362513,25.241710,149.806474,0.034606,0.034573,0.034573,0.000000
3.445000,0.200000,0.106457,0.003011,12.366585,25.250020,149.806360,0.034627,0.034593,0.034593,0.000000
3.450000,0.200000,0.106472,0.003013,12.370653,25.258324,149.806247,0.034648,0.034614,0.034614,0.000000
3.455000,0.200000,0.106487,0.003015,12.374719,25.266623,149.806133,0.034669,0.034635,0.034635,0.000000
3.460000,0.200000,0.106502,0.003017,12.378782,25.274916,149.806020,0.034689,0.034656,0.034656,0.000000
3.465000,0.200000,0.106517,0.003019,12.382843,25.283204,149.805907,0.034710,0.034676,0.034676,0.000000
3.470000,0.200000,0.106532,0.003021,12.386900,25.291486,149.805793,0.034731,0.034697,0.034697,0.000000
3.475000,0.200000,0.106547,0.003023,12.390955,25.299763,149.805680,0.034751,0.034718,0.034718,0.000000
3.480000,0.200000,0.106562,0.003024,12.395008,25.308034,149.805567,0.034772,0.034739,0.034739,0.000000
3.485000,0.200000,0.106578,0.003026,12.399057,25.316299,149.805454,0.034793,0.034759,0.034759,0.000000
3.490000,0.200000,0.106593,0.003028,12.403104,25.324559,149.805340,0.034814,0.034780,0.034780,0.000000
3.495000,0.200000,0.106608,0.003030,12.407148,25.332813,149.805227,0.034834,0.034801,0.034801,0.000000
3.500000,0.200000,0.106623,0.003032,12.411189,25.341062,149.805114,0.034855,0.034822,0.034822,0.000000
3.505000,0.200000,0.106638,0.003034,12.415228,25.349305,149.805001,0.034876,0.034842,0.034842,0.000000
3.510000,0.200000,0.106653,0.003036,12.419264,25.357542,149.804888,0.034896,0.034863,0.034863,0.000000
3.515000,0.200000,0.106668,0.003038,12.423297,25.365774,149.804775,0.034917,0.034884,0.034884,0.000000
3.520000,0.200000,0.106684,0.003039,12.427327,25.374000,149.804662,0.034938,0.034904,0.034904,0.000000
3.525000,0.200000,0.106699,0.003041,12.431355,25.382221,149.804548,0.034959,0.034925,0.034925,0.000000
3.530000,0.200000,0.106714,0.003043,12.435379,25.390435,149.804435,0.034979,0.034946,0.034946,0.000000
3.535000,0.200000,0.106729,0.003045,12.439401,25.398645,149.804322,0.035000,0.034966,0.034966,0.000000
3.540000,0.200000,0.106745,0.003047,12.443421,25.406848,149.804209,0.035021,0.034987,0.034987,0.000000
3.545000,0.200000,0.106760,0.003049,12.447437,25.415046,149.804096,0.035041,0.035008,0.035008,0.000000
3.550000,0.200000,0.106775,0.003051,12.451451,25.423239,149.803983,0.035062,0.035029,0.035029,0.000000
3.555000,0.200000,0.106790,0.003053,12.455462,25.431425,149.803870,0.035083,0.035049,0.035049,0.000000
3.560000,0.200000,0.106806,0.003054,12.459470,25.439606,149.803758,0.035103,0.035070,0.035070,0.000000
3.565000,0.200000,0.106821,0.003056,12.463476,25.447782,149.803645,0.035124,0.035091,0.035091,0.000000
3.570000,0.200000,0.106836,0.003058,12.467478,25.455951,149.803532,0.035145,0.035111,0.035111,0.000000
3.575000,0.200000,0.106851,0.003060,12.471478,25.464115,149.803419,0.035165,0.035132,0.035132,0.000000
3.580000,0.200000,0.106867,0.003062,12.475475,25.472274,149.803306,0.035186,0.035153,0.035153,0.000000
3.585000,0.200000,0.106882,0.003064,12.479470,25.480427,149.803193,0.035207,0.035173,0.035173,0.000000
3.590000,0.200000,0.106897,0.003066,12.483461,25.488574,149.803080,0.035227,0.035194,0.035194,0.000000
3.595000,0.200000,0.106913,0.003068,12.487450,25.496715,149.802968,0.035248,0.035214,0.035214,0.000000
3.600000,0.200000,0.106928,0.003069,12.491436,25.504850,149.802855,0.035269,0.035235,0.035235,0.000000
3.605000,0.200000,0.106943,0.003071,12.495419,25.512980,149.802742,0.035289,0.035256,0.035256,0.000000
3.610000,0.200000,0.106959,0.003073,12.499400,25.521105,149.802630,0.035310,0.035276,0.035276,0.000000
3.615000,0.200000,0.106974,0.003075,12.503377,25.529223,149.802517,0.035330,0.035297,0.035297,0.000000
3.620000,0.200000,0.106989,0.003077,12.507352,25.537336,149.802404,0.035351,0.035318,0.035318,0.000000
3.625000,0.200000,0.107005,0.003079,12.511324,25.545443,149.802292,0.035372,0.035338,0.035338,0.000000
3.630000,0.200000,0.107020,0.003081,12.515293,25.553544,149.802179,0.035392,0.035359,0.035359,0.000000
3.635000,0.200000,0.107036,0.003083,12.519260,25.561640,149.802066,0.035413,0.035380,0.035380,0.000000
3.640000,0.200000,0.107051,0.003084,12.523223,25.569730,149.801954,0.035434,0.035400,0.035400,0.000000
3.645000,0.200000,0.107067,0.003086,12.527184,25.577814,149.801841,0.035454,0.035421,0.035421,0.000000
3.650000,0.200000,0.107082,0.003088,12.531142,25.585893,149.801729,0.035475,0.035441,0.035441,0.000000
3.655000,0.200000,0.107097,0.003090,12.535097,25.593965,149.801616,0.035495,0.035462,0.035462,0.000000
3.660000,0.200000,0.107113,0.003092,12.539050,25.602032,149.801504,0.035516,0.035483,0.035483,0.000000
3.665000,0.200000,0.107128,0.003094,12.542999,25.610094,149.801391,0.035537,0.035503,0.035503,0.000000
3.670000,0.200000,0.107144,0.003096,12.546946,25.618149,149.801279,0.035557,0.035524,0.035524,0.000000
3.675000,0.200000,0.107159,0.003097,12.550890,25.626199,149.801166,0.035578,0.035544,0.035544,0.000000
3.680000,0.200000,0.107175,0.003099,12.554831,25.634243,149.801054,0.035598,0.035565,0.035565,0.000000
3.685000,0.200000,0.107190,0.003101,12.558769,25.642281,149.800942,0.035619,0.035586,0.035586,0.000000
3.690000,0.200000,0.107206,0.003103,12.562705,25.650313,149.800829,0.035639,0.035606,0.035606,0.000000
3.695000,0.200000,0.107221,0.003105,12.566637,25.658340,149.800717,0.035660,0.035627,0.035627,0.000000
3.700000,0.200000,0.107237,0.003107,12.570567,25.666361,149.800605,0.035681,0.035647,0.035647,0.000000
3.705000,0.200000,0.107252,0.003109,12.574494,25.674376,149.800492,0.035701,0.035668,0.035668,0.000000
3.710000,0.200000,0.107268,0.003111,12.578418,25.682385,149.800380,0.035722,0.035688,0.035688,0.000000
3.715000,0.200000,0.107283,0.003112,12.582339,25.690389,149.800268,0.035742,0.035709,0.035709,0.000000
3.720000,0.200000,0.107299,0.003114,12.586258,25.698387,149.800155,0.035763,0.035730,0.035730,0.000000
3.725000,0.200000,0.107315,0.003116,12.590174,25.706379,149.800043,0.035783,0.035750,0.035750,0.000000
3.730000,0.200000,0.107330,0.003118,12.594086,25.714365,149.799931,0.035804,0.035771,0.035771,0.000000
3.735000,0.200000,0.107346,0.003120,12.597996,25.722345,149.799819,0.035824,0.035791,0.035791,0.000000
3.740000,0.200000,0.107361,0.003122,12.601903,25.730320,149.799707,0.035845,0.035812,0.035812,0.000000
3.745000,0.200000,0.107377,0.003124,12.605808,25.738288,149.799595,0.035866,0.035832,0.035832,0.000000
3.750000,0.200000,0.107393,0.003125,12.609709,25.746251,149.799483,0.035886,0.035853,0.035853,0.000000
3.755000,0.200000,0.107408,0.003127,12.613608,25.754208,149.799370,0.035907,0.035873,0.035873,0.000000
3.760000,0.200000,0.107424,0.003129,12.617503,25.762160,149.799258,0.035927,0.035894,0.035894,0.000000
3.765000,0.200000,0.107440,0.003131,12.621396,25.770105,149.799146,0.035948,0.035914,0.035914,0.000000
3.770000,0.200000,0.107455,0.003133,12.625286,25.778045,149.799034,0.035968,0.035935,0.035935,0.000000
3.775000,0.200000,0.107471,0.003135,12.629173,25.785978,149.798922,0.035989,0.035955,0.035955,0.000000
3.780000,0.200000,0.107487,0.003137,12.633058,25.793906,149.798810,0.036009,0.035976,0.035976,0.000000
3.785000,0.200000,0.107502,0.003138,12.636939,25.801828,149.798698,0.036030,0.035997,0.035997,0.000000
3.790000,0.200000,0.107518,0.003140,12.640818,25.809745,149.798587,0.036050,0.036017,0.036017,0.000000
3.795000,0.200000,0.107534,0.003142,12.644693,25.817655,149.798475,0.036071,0.036038,0.036038,0.000000
3.800000,0.200000,0.107549,0.003144,12.648566,25.825560,149.798363,0.036091,0.036058,0.036058,0.000000
3.805000,0.200000,0.107565,0.003146,12.652436,25.833458,149.798251,0.036112,0.036079,0.036079,0.000000
3.810000,0.200000,0.107581,0.003148,12.656303,25.841351,149.798139,0.036132,0.036099,0.036099,0.000000
3.815000,0.200000,0.107597,0.003150,12.660168,25.849238,149.798027,0.036153,0.036120,0.036120,0.000000
3.820000,0.200000,0.107612,0.003152,12.664029,25.857119,149.797915,0.036173,0.036140,0.036140,0.000000
3.825000,0.200000,0.107628,0.003153,12.667887,25.864995,149.797804,0.036194,0.036160,0.036160,0.000000
3.830000,0.200000,0.107644,0.003155,12.671743,25.872864,149.797692,0.036214,0.036181,0.036181,0.000000
3.835000,0.200000,0.107660,0.003157,12.675596,25.880727,149.797580,0.036235,0.036201,0.036201,0.000000
3.840000,0.200000,0.107675,0.003159,12.679446,25.888585,149.797468,0.036255,0.036222,0.036222,0.000000
