t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.695000,0.050000,0.050000,0.000000,10.005696,20.437585,149.999988,0.000002,0.000002,0.000002,0.000000
0.700000,0.050000,0.050000,0.000000,10.005697,20.437586,149.999989,0.000002,0.000002,0.000002,0.000000
0.705000,0.050000,0.050000,0.000000,10.005697,20.437586,149.999989,0.000002,0.000002,0.000002,0.000000
0.710000,0.050000,0.050000,0.000000,10.005697,20.437587,149.999989,0.000002,0.000002,0.000002,0.000000
0.715000,0.050000,0.050000,0.000000,10.005698,20.437588,149.999989,0.000002,0.000002,0.000002,0.000000
0.720000,0.050000,0.050000,0.000000,10.005698,20.437589,149.999989,0.000002,0.000002,0.000002,0.000000
0.725000,0.050000,0.050000,0.000000,10.005699,20.437589,149.999990,0.000002,0.000002,0.000002,0.000000
0.730000,0.050000,0.050000,0.000000,10.005699,20.437590,149.999990,0.000002,0.000002,0.000002,0.000000
0.735000,0.050000,0.050000,0.000000,10.005699,20.437591,149.999990,0.000002,0.000002,0.000002,0.000000
0.740000,0.050000,0.050000,0.000000,10.005700,20.437592,149.999990,0.000002,0.000002,0.000002,0.000000
0.745000,0.050000,0.050000,0.000000,10.005700,20.437592,149.999990,0.000002,0.000002,0.000002,0.000000
0.750000,0.050000,0.050000,0.000000,10.005700,20.437593,149.999990,0.000002,0.000002,0.000002,0.000000
0.755000,0.050000,0.050000,0.000000,10.005701,20.437594,149.999991,0.000002,0.000002,0.000002,0.000000
0.760000,0.050000,0.050000,0.000000,10.005701,20.437594,149.999991,0.000002,0.000002,0.000002,0.000000
0.765000,0.050000,0.050000,0.000000,10.005701,20.437595,149.999991,0.000002,0.000002,0.000002,0.000000
0.770000,0.050000,0.050000,0.000000,10.005701,20.437596,149.999991,0.000001,0.000002,0.000002,0.000000
0.775000,0.050000,0.050000,0.000000,10.005702,20.437596,149.999991,0.000001,0.000001,0.000001,0.000000
0.780000,0.050000,0.050000,0.000000,10.005702,20.437597,149.999991,0.000001,0.000001,0.000001,0.000000
0.785000,0.050000,0.050000,0.000000,10.005702,20.437597,149.999992,0.000001,0.000001,0.000001,0.000000
0.790000,0.050000,0.050000,0.000000,10.005703,20.437598,149.999992,0.000001,0.000001,0.000001,0.000000
0.795000,0.050000,0.050000,0.000000,10.005703,20.437599,149.999992,0.000001,0.000001,0.000001,0.000000
0.800000,0.050000,0.050000,0.000000,10.005703,20.437599,149.999992,0.000001,0.000001,0.000001,0.000000
