t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
207.0,0.000,0.2511,302.6352,302.3841,302.5587,J,58.16,0.7125,4,37.02
208.0,0.000,0.2623,302.6501,302.3877,302.5718,J,58.16,0.7111,4,37.29
209.0,0.000,0.2736,302.6649,302.3914,302.5848,J,58.16,0.7097,4,37.56
210.0,0.000,0.2848,302.6797,302.3950,302.5978,J,58.16,0.7083,4,37.84
211.0,0.000,0.2960,302.6945,302.3986,302.6108,J,58.16,0.7069,4,38.14
212.0,0.000,0.3071,302.7092,302.4021,302.6238,U,58.16,0.7056,5,38.45
213.0,0.000,0.3004,302.7234,302.4230,302.6388,U,58.16,0.7042,5,38.75
214.0,0.000,0.2936,302.7375,302.4439,302.6539,U,58.16,0.7028,5,39.04
215.0,0.000,0.2868,302.7515,302.4647,302.6688,U,58.16,0.7014,5,39.33
216.0,0.000,0.2801,302.7655,302.4854,302.6838,U,58.16,0.7000,5,39.61
217.0,0.000,0.2733,302.7794,302.5062,302.6987,U,58.16,0.6986,5,39.88
218.0,0.000,0.2665,302.7934,302.5269,302.7135,U,58.16,0.6972,5,40.15
219.0,0.000,0.2705,302.8076,302.5371,302.7284,U,58.16,0.6958,5,40.42
220.0,0.000,0.2789,302.8229,302.5440,302.7432,U,58.16,0.6944,5,40.70
221.0,0.000,0.2884,302.8392,302.5508,302.7579,U,58.16,0.6931,5,40.99
222.0,0.000,0.2978,302.8554,302.5576,302.7726,U,58.16,0.6917,5,41.28
223.0,0.000,0.3072,302.8716,302.5644,302.7873,J,58.16,0.6903,6,41.59
224.0,0.000,0.2992,302.8828,302.5836,302.7996,J,58.16,0.6889,6,41.89
225.0,0.000,0.2912,302.8941,302.6029,302.8118,J,58.16,0.6875,6,42.18
226.0,0.000,0.2837,302.9057,302.6221,302.8240,J,58.16,0.6861,6,42.46
227.0,0.000,0.2803,302.9189,302.6386,302.8362,J,58.16,0.6847,6,42.74
228.0,0.000,0.2922,302.9330,302.6408,302.8484,J,58.16,0.6833,6,43.04
229.0,0.000,0.3041,302.9470,302.6430,302.8605,U,58.16,0.6819,7,43.34
230.0,0.000,0.2970,302.9604,302.6634,302.8749,U,58.16,0.6806,7,43.64
231.0,0.000,0.2899,302.9738,302.6839,302.8892,U,58.16,0.6792,7,43.93
232.0,0.000,0.2896,302.9874,302.6979,302.9035,U,58.16,0.6778,7,44.22
233.0,0.000,0.2983,303.0023,302.7040,302.9178,U,58.16,0.6764,7,44.52
234.0,0.000,0.3081,303.0181,302.7100,302.9320,J,58.16,0.6750,8,44.82
235.0,0.000,0.2998,303.0289,302.7290,302.9439,J,58.16,0.6736,8,45.12
236.0,0.000,0.2932,303.0411,302.7480,302.9556,J,58.16,0.6722,8,45.42
237.0,0.000,0.3052,303.0548,302.7496,302.9674,U,58.16,0.6708,9,45.72
238.0,0.000,0.2980,303.0679,302.7699,302.9815,U,58.16,0.6694,9,46.02
239.0,0.000,0.3036,303.0819,302.7784,302.9955,L,58.16,0.6681,10,46.32
240.0,0.000,0.2983,303.0965,302.7982,303.0124,L,76.65,0.6667,10,46.62
241.0,0.000,0.2933,303.1203,302.8269,303.0382,L,76.65,0.6653,10,46.92
242.0,0.000,0.2884,303.1440,302.8557,303.0639,L,76.65,0.6639,10,47.20
243.0,0.000,0.2834,303.1677,302.8843,303.0896,L,76.65,0.6625,10,47.49
