t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
1.25000,-4.06205,5.01245,0.00000,2.32211,-15.00000,0.00000,0.00000
1.25500,-4.03685,5.04040,0.00000,2.52095,-15.00000,0.00000,0.00000
1.26000,-4.01152,5.06655,0.00000,2.70310,-15.00000,0.00000,0.00000
1.26500,-3.98607,5.09086,0.00000,2.86862,-15.00000,0.00000,0.00000
1.27000,-3.96050,5.11329,0.00000,3.01763,-15.00000,0.00000,0.00000
1.27500,-3.93483,5.13381,0.00000,3.15021,-15.00000,0.00000,0.00000
1.28000,-3.90907,5.15238,0.00000,3.26645,-15.00000,0.00000,0.00000
1.28500,-3.88322,5.16897,0.00000,3.36647,-15.00000,0.00000,0.00000
1.29000,-3.85731,5.18355,0.00000,3.45039,-15.00000,0.00000,0.00000
1.29500,-3.83132,5.19608,0.00000,3.51831,-15.00000,0.00000,0.00000
1.30000,-3.80529,5.20655,0.00000,3.57038,-15.00000,0.00000,0.00000
1.30500,-3.77922,5.21491,0.00000,3.60672,-15.00000,0.00000,0.00000
1.31000,-3.75311,5.22116,0.00000,3.62747,-15.00000,0.00000,0.00000
1.31500,-3.72699,5.22527,0.00000,3.63279,-15.00000,0.00000,0.00000
1.32000,-3.70085,5.22722,0.00000,3.62283,-15.00000,0.00000,0.00000
1.32500,-3.67471,5.22700,0.00000,3.59774,-15.00000,0.00000,0.00000
1.33000,-3.64859,5.22458,0.00000,3.55768,-15.00000,0.00000,0.00000
1.33500,-3.62249,5.21997,0.00000,3.50283,-15.00000,0.00000,0.00000
1.34000,-3.59643,5.21315,0.00000,3.43335,-15.00000,0.00000,0.00000
1.34500,-3.57041,5.20411,0.00000,3.34942,-15.00000,0.00000,0.00000
1.35000,-3.54444,5.19286,0.00000,3.25124,-15.00000,0.00000,0.00000
1.35500,-3.51854,5.17939,0.00000,3.13898,-15.00000,0.00000,0.00000
1.36000,-3.49273,5.16371,0.00000,3.01284,-15.00000,0.00000,0.00000
1.36500,-3.46700,5.14581,0.00000,2.87303,-15.00000,0.00000,0.00000
1.37000,-3.44137,5.12572,0.00000,2.71975,-15.00000,0.00000,0.00000
1.37500,-3.41585,5.10343,0.00000,2.55320,-15.00000,0.00000,0.00000
1.38000,-3.39046,5.07896,0.00000,2.37359,-15.00000,0.00000,0.00000
1.38500,-3.36519,5.05234,0.00000,2.18111,-15.00000,0.00000,0.00000
1.39000,-3.34008,5.02357,0.00000,1.97596,-15.00000,0.00000,0.00000
1.39500,-3.31511,4.99267,0.00000,1.75832,-15.00000,0.00000,0.00000
1.40000,-3.29031,4.95968,0.00000,1.52833,-15.00000,0.00000,0.00000
1.40500,-3.26569,4.92462,0.00000,1.28613,-15.00000,0.00000,0.00000
1.41000,-3.24125,4.88752,0.00000,1.03183,-15.00000,0.00000,0.00000
1.41500,-3.21701,4.84841,0.00000,0.76549,-15.00000,0.00000,0.00000
1.42000,-3.19298,4.80731,0.00000,0.48715,-15.00000,0.00000,0.00000
1.42500,-3.16915,4.76428,0.00000,0.19683,-15.00000,0.00000,0.00000
1.43000,-3.14556,4.71934,0.00000,-0.10550,-15.00000,0.00000,0.00000
1.43500,-3.12219,4.67253,0.00000,-0.41985,-15.00000,0.00000,0.00000
1.44000,-3.09907,4.62391,0.00000,-0.74626,-15.00000,0.00000,0.00000
1.44500,-3.07621,4.57350,0.00000,-1.05655,13.18501,0.00000,0.00000
1.45000,-3.05360,4.52135,0.00000,-1.34917,15.00000,0.00000,0.00000
1.45500,-3.03126,4.46752,0.00000,-1.62434,15.00000,0.00000,0.00000
1.46000,-3.00920,4.41204,0.00000,-1.88225,15.00000,0.00000,0.00000
1.46500,-2.98743,4.35497,0.00000,-2.12305,15.00000,0.00000,0.00000
1.47000,-2.96595,4.29636,0.00000,-2.34685,15.00000,0.00000,0.00000
1.47500,-2.94476,4.23625,0.00000,-2.55377,15.00000,0.00000,0.00000
1.48000,-2.92389,4.17471,0.00000,-2.74389,15.00000,0.00000,0.00000
1.48500,-2.90333,4.11177,0.00000,-2.91730,15.00000,0.00000,0.00000
1.49000,-2.88310,4.04750,0.00000,-3.07409,15.00000,0.00000,0.00000
1.49500,-2.86319,3.98195,0.00000,-3.21433,15.00000,0.00000,0.00000
1.50000,-2.84361,3.91517,0.00000,-3.33815,15.00000,0.00000,0.00000
1.50500,-2.82437,3.84721,0.00000,-3.44562,15.00000,0.00000,0.00000
1.51000,-2.80548,3.77814,0.00000,-3.53688,15.00000,0.00000,0.00000
1.51500,-2.78694,3.70801,0.00000,-3.61203,15.00000,0.00000,0.00000
1.52000,-2.76876,3.63686,0.00000,-3.67121,15.00000,0.00000,0.00000
1.52500,-2.75093,3.56476,0.00000,-3.71456,15.00000,0.00000,0.00000
1.53000,-2.73348,3.49175,0.00000,-3.74220,15.00000,0.00000,0.00000
1.53500,-2.71639,3.41790,0.00000,-3.75429,15.00000,0.00000,0.00000
1.54000,-2.69967,3.34326,0.00000,-3.75097,15.00000,0.00000,0.00000
1.54500,-2.68333,3.26787,0.00000,-3.73241,15.00000,0.00000,0.00000
1.55000,-2.66737,3.19179,0.00000,-3.69876,15.00000,0.00000,0.00000
