t,v_in,v_ref,v_out,i_L,d,mode,error
0.03822000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03824000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03826000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03828000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03830000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03832000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03834000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03836000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03838000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03840000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03842000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03844000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03846000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03848000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03850000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03852000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03854000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03856000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03858000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03860000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03862000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03864000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03866000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03868000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
