Time,y1,y2,y3,u1,u2,u3,du3,theta
274,150.231,139.278,3.43643,0.59589,0.89447,1,0,2.49605
275,150.164,139.207,3.41313,0.59589,0.89447,1,0,2.54712
276,150.098,139.137,3.38996,0.59589,0.89447,1,0,2.59534
277,150.033,139.066,3.36691,0.59589,0.89447,1,0,2.64032
278,149.967,138.996,3.34398,0.59589,0.89447,1,0,2.6818
279,149.902,138.926,3.32118,0.59589,0.89447,1,0,2.71967
280,149.836,138.856,3.2985,0.59589,0.89447,1,0,2.75391
281,149.772,138.787,3.27594,0.59589,0.89447,1,0,2.78461
282,149.707,138.717,3.2535,0.59589,0.89447,1,0,2.81197
283,149.642,138.648,3.23119,0.59589,0.89447,1,0,2.83625
284,149.578,138.579,3.209,0.59589,0.89447,1,0,2.85777
285,149.514,138.511,3.18693,0.59589,0.89447,1,0,2.87691
286,149.45,138.442,3.16497,0.59589,0.89447,1,0,2.89406
287,149.386,138.374,3.14314,0.59589,0.89447,1,0,2.90963
288,149.323,138.306,3.12143,0.59589,0.89447,1,0,2.92401
289,149.26,138.238,3.09983,0.59589,0.89447,1,0,2.93758
290,149.197,138.171,3.07836,0.59589,0.89447,1,0,2.95068
291,149.134,138.103,3.057,0.59589,0.89447,1,0,2.96361
292,149.072,138.036,3.03576,0.59589,0.89447,1,0,2.97659
293,149.009,137.969,3.01464,0.59589,0.89447,1,0,2.98977
294,148.947,137.903,2.99363,0.59589,0.89447,1,0,3.00326
295,148.885,137.836,2.97274,0.59589,0.89447,1,0,3.01706
296,148.823,137.77,2.95196,0.59589,0.89447,1,0,3.03109
297,148.762,137.704,2.9313,0.59589,0.89447,1,0,3.04521
298,148.701,137.638,2.91075,0.59589,0.89447,1,0,3.05919
299,148.64,137.573,2.89032,0.59589,0.89447,1,0,3.07275
300,148.579,137.507,2.87,0.59589,0.89447,1,0,3.08554
301,148.518,137.442,2.84979,0.59589,0.89447,1,0,3.09714
302,148.457,137.377,2.8297,0.59589,0.89447,1,0,3.10712
303,148.397,137.313,2.80972,0.59589,0.89447,1,0,3.11502
304,148.337,137.248,2.78985,0.59589,0.89447,1,0,3.12036
305,148.277,137.184,2.77008,0.59589,0.89447,1,0,3.12266
306,148.218,137.12,2.75043,0.59589,0.89447,1,0,3.12146
307,148.158,137.056,2.73089,0.59589,0.89447,1,0,3.11635
308,148.099,136.993,2.71146,0.59589,0.89447,1,0,3.10696
309,148.04,136.929,2.69214,0.59589,0.89447,1,0,3.09295
310,147.981,136.866,2.67292,0.59589,0.89447,1,0,3.0741
311,147.922,136.803,2.65382,0.59589,0.89447,1,0,3.05024
312,147.864,136.741,2.63482,0.59589,0.89447,1,0,3.02131
313,147.806,136.678,2.61592,0.59589,0.89447,1,0,2.98735
314,147.748,136.616,2.59714,0.59589,0.89447,1,0,2.94851
315,147.69,136.554,2.57846,0.59589,0.89447,1,0,2.90503
316,147.632,136.492,2.55988,0.59589,0.89447,1,0,2.85728
317,147.575,136.431,2.54141,0.59589,0.89447,1,0,2.80572
318,147.517,136.369,2.52304,0.59589,0.89447,1,0,2.75093
319,147.46,136.308,2.50478,0.59589,0.89447,1,0,2.69357
320,147.403,136.247,2.48662,0.59589,0.89447,1,0,2.6344
321,147.347,136.186,2.46856,0.59589,0.89447,1,0,2.57425
322,147.29,136.126,2.45061,0.59589,0.89447,1,0,2.51401
323,147.234,136.065,2.43276,0.59589,0.89447,1,0,2.4546
324,147.178,136.005,2.415,0.59589,0.89447,1,0,2.39701
325,147.122,135.945,2.39735,0.59589,0.89447,1,0,2.3422
326,147.066,135.885,2.3798,0.59589,0.89447,1,0,2.29116
327,147.01,135.826,2.36235,0.59589,0.89447,1,0,2.24482
328,146.955,135.766,2.345,0.59589,0.89447,1,0,2.2041
329,146.9,135.707,2.32774,0.59589,0.89447,1,0,2.16984
330,146.845,135.648,2.31059,0.59589,0.89447,1,0,2.1428
331,146.79,135.59,2.29353,0.59589,0.89447,1,0,2.12365
332,146.735,135.531,2.27657,0.59589,0.89447,1,0,2.11294
333,146.681,135.473,2.25971,0.59589,0.89447,1,0,2.1111
334,146.627,135.415,2.24294,0.59589,0.89447,1,0,2.11844
335,146.573,135.357,2.22627,0.59589,0.89447,1,0,2.13509
336,146.519,135.299,2.2097,0.59589,0.89447,1,0,2.16106
337,146.465,135.242,2.19322,0.59589,0.89447,1,0,2.19619
338,146.411,135.184,2.17683,0.59589,0.89447,1,0,2.24016
339,146.358,135.127,2.16054,0.59589,0.89447,1,0,2.2925
340,146.305,135.07,2.14434,0.59589,0.89447,1,0,2.3526
341,146.252,135.013,2.12824,0.59589,0.89447,1,0,2.41968
342,146.199,134.957,2.11222,0.59589,0.89447,1,0,2.49285
343,146.146,134.9,2.0963,0.59589,0.89447,1,0,2.57109
344,146.094,134.844,2.08047,0.59589,0.89447,1,0,2.65327
345,146.042,134.788,2.06473,0.59589,0.89447,1,0,2.73819
346,145.99,134.732,2.04909,0.59589,0.89447,1,0,2.82457
347,145.938,134.677,2.03353,0.59589,0.89447,1,0,2.91106
348,145.886,134.622,2.01806,0.59589,0.89447,1,0,2.99632
349,145.834,134.566,2.00268,0.59589,0.89447,1,0,3.07898
350,145.783,134.511,1.98739,0.59589,0.89447,1,0,3.1577
351,145.732,134.456,1.97219,0.59589,0.89447,1,0,3.23118
352,145.681,134.402,1.95707,0.59589,0.89447,1,0,3.29819
353,145.63,134.347,1.94205,0.59589,0.89447,1,0,3.35756
354,145.579,134.293,1.92711,0.59589,0.89447,1,0,3.40825
355,145.529,134.239,1.91225,0.59589,0.89447,1,0,3.44935
356,145.478,134.185,1.89748,0.59589,0.89447,1,0,3.48007
357,145.428,134.131,1.8828,0.59589,0.89447,1,0,3.4998
358,145.378,134.078,1.86821,0.59589,0.89447,1,0,3.50808
359,145.328,134.024,1.85369,0.59589,0.89447,1,0,3.50465
360,145.278,133.971,1.83926,0.59589,0.89447,1,0,3.48942
361,145.229,133.918,1.82492,0.59589,0.89447,1,0,3.46248
362,145.18,133.865,1.81066,0.59589,0.89447,1,0,3.42414
363,145.13,133.813,1.79648,0.59589,0.89447,1,0,3.37488
364,145.081,133.76,1.78238,0.59589,0.89447,1,0,3.31535
365,145.032,133.708,1.76837,0.59589,0.89447,1,0,3.24639
366,144.984,133.656,1.75444,0.59589,0.89447,1,0,3.16898
367,144.935,133.604,1.74059,0.59589,0.89447,1,0,3.08428
368,144.887,133.552,1.72681,0.59589,0.89447,1,0,2.99354
369,144.839,133.501,1.71312,0.59589,0.89447,1,0,2.89814
370,144.791,133.449,1.69951,0.59589,0.89447,1,0,2.79953
371,144.743,133.398,1.68598,0.59589,0.89447,1,0,2.69923
372,144.695,133.347,1.67253,0.59589,0.89447,1,0,2.59882
373,144.647,133.296,1.65916,0.59589,0.89447,1,0,2.49985
374,144.6,133.246,1.64586,0.59589,0.89447,1,0,2.4039
375,144.553,133.195,1.63264,0.59589,0.89447,1,0,2.31249
376,144.506,133.145,1.6195,0.59589,0.89447,1,0,2.22708
377,144.459,133.095,1.60644,0.59589,0.89447,1,0,2.14905
378,144.412,133.045,1.59345,0.59589,0.89447,1,0,2.07966
379,144.365,132.995,1.58054,0.59589,0.89447,1,0,2.02005
380,144.319,132.945,1.5677,0.59589,0.89447,1,0,1.9712
381,144.273,132.896,1.55494,0.59589,0.89447,1,0,1.93393
382,144.227,132.846,1.54226,0.59589,0.89447,1,0,1.90889
383,144.181,132.797,1.52965,0.59589,0.89447,1,0,1.89651
384,144.135,132.748,1.51711,0.59589,0.89447,1,0,1.89704
385,144.089,132.699,1.50465,0.59589,0.89447,1,0,1.91052
386,144.044,132.651,1.49226,0.59589,0.89447,1,0,1.9368
387,143.998,132.602,1.47994,0.59589,0.89447,1,0,1.9755
388,143.953,132.554,1.46769,0.59589,0.89447,1,0,2.02605
389,143.908,132.506,1.45552,0.59589,0.89447,1,0,2.0877
390,143.863,132.458,1.44342,0.59589,0.89447,1,0,2.15951
391,143.818,132.41,1.43139,0.59589,0.89447,1,0,2.24038
