step,y1,y2,u1,u2
4.73,0.232835,0.232835,5.86552,5.86552
4.74,0.22729,0.22729,5.9192,5.9192
4.75,0.222269,0.222269,5.97162,5.97162
4.76,0.217778,0.217778,6.02274,6.02274
4.77,0.21382,0.21382,6.07251,6.07251
4.78,0.2104,0.2104,6.12092,6.12092
4.79,0.207522,0.207522,6.16791,6.16791
4.8,0.205187,0.205187,6.21345,6.21345
4.81,0.203401,0.203401,6.25751,6.25751
4.82,0.202163,0.202163,6.30005,6.30005
4.83,0.201478,0.201478,6.34104,6.34104
4.84,0.201346,0.201346,6.38045,6.38045
4.85,0.201769,0.201769,6.41825,6.41825
4.86,0.202747,0.202747,6.4544,6.4544
4.87,0.204282,0.204282,6.48889,6.48889
4.88,0.206373,0.206373,6.52167,6.52167
4.89,0.209021,0.209021,6.55273,6.55273
4.9,0.212223,0.212223,6.58205,6.58205
4.91,0.21598,0.21598,6.60958,6.60958
4.92,0.220291,0.220291,6.63533,6.63533
4.93,0.225152,0.225152,6.65925,6.65925
4.94,0.230562,0.230562,6.68133,6.68133
4.95,0.236519,0.236519,6.70156,6.70156
4.96,0.243019,0.243019,6.71991,6.71991
4.97,0.250059,0.250059,6.73637,6.73637
4.98,0.257635,0.257635,6.75092,6.75092
4.99,0.265744,0.265744,6.76355,6.76355
5,0.27438,0.27438,6.77425,6.77425
5.01,0.283538,0.283538,6.783,6.783
5.02,0.293214,0.293214,6.78979,6.78979
5.03,0.303402,0.303402,6.79462,6.79462
5.04,0.314095,0.314095,6.79748,6.79748
5.05,0.325287,0.325287,6.79836,6.79836
5.06,0.336972,0.336972,6.79725,6.79725
5.07,0.349142,0.349142,6.79417,6.79417
5.08,0.361791,0.361791,6.78909,6.78909
5.09,0.374909,0.374909,6.78203,6.78203
5.1,0.388489,0.388489,6.77298,6.77298
5.11,0.402522,0.402522,6.76194,6.76194
5.12,0.416999,0.416999,6.74893,6.74893
5.13,0.431912,0.431912,6.73394,6.73394
5.14,0.447251,0.447251,6.71698,6.71698
5.15,0.463006,0.463006,6.69806,6.69806
5.16,0.479166,0.479166,6.67719,6.67719
5.17,0.495721,0.495721,6.65438,6.65438
5.18,0.512662,0.512662,6.62964,6.62964
5.19,0.529975,0.529975,6.60298,6.60298
5.2,0.547651,0.547651,6.57442,6.57442
5.21,0.565677,0.565677,6.54398,6.54398
5.22,0.584042,0.584042,6.51168,6.51168
5.23,0.602734,0.602734,6.47752,6.47752
5.24,0.621739,0.621739,6.44154,6.44154
5.25,0.641046,0.641046,6.40375,6.40375
5.26,0.660642,0.660642,6.36418,6.36418
5.27,0.680513,0.680513,6.32285,6.32285
5.28,0.700646,0.700646,6.27979,6.27979
5.29,0.721028,0.721028,6.23502,6.23502
5.3,0.741644,0.741644,6.18857,6.18857
5.31,0.762482,0.762482,6.14047,6.14047
5.32,0.783526,0.783526,6.09075,6.09075
5.33,0.804763,0.804763,6.03945,6.03945
5.34,0.826177,0.826177,5.98659,5.98659
5.35,0.847755,0.847755,5.93221,5.93221
5.36,0.869482,0.869482,5.87635,5.87635
5.37,0.891342,0.891342,5.81904,5.81904
5.38,0.91332,0.91332,5.76031,5.76031
5.39,0.935403,0.935403,5.70022,5.70022
5.4,0.957573,0.957573,5.63878,5.63878
5.41,0.979817,0.979817,5.57606,5.57606
5.42,1.00212,1.00212,5.51208,5.51208
5.43,1.02446,1.02446,5.4469,5.4469
5.44,1.04683,1.04683,5.38054,5.38054
5.45,1.06921,1.06921,5.31307,5.31307
5.46,1.09158,1.09158,5.24452,5.24452
5.47,1.11394,1.11394,5.17494,5.17494
5.48,1.13626,1.13626,5.10437,5.10437
5.49,1.15852,1.15852,5.03287,5.03287
5.5,1.18072,1.18072,4.96048,4.96048
5.51,1.20284,1.20284,4.88725,4.88725
5.52,1.22485,1.22485,4.81323,4.81323
5.53,1.24675,1.24675,4.73847,4.73847
5.54,1.26852,1.26852,4.66303,4.66303
5.55,1.29015,1.29015,4.58695,4.58695
5.56,1.31161,1.31161,4.51028,4.51028
5.57,1.3329,1.3329,4.43309,4.43309
5.58,1.354,1.354,4.35541,4.35541
5.59,1.37488,1.37488,4.27732,4.27732
5.6,1.39555,1.39555,4.19885,4.19885
5.61,1.41598,1.41598,4.12006,4.12006
5.62,1.43615,1.43615,4.04102,4.04102
5.63,1.45606,1.45606,3.96176,3.96176
5.64,1.47569,1.47569,3.88236,3.88236
5.65,1.49503,1.49503,3.80286,3.80286
5.66,1.51405,1.51405,3.72333,3.72333
5.67,1.53275,1.53275,3.6438,3.6438
5.68,1.55111,1.55111,3.56436,3.56436
5.69,1.56913,1.56913,3.48503,3.48503
5.7,1.58677,1.58677,3.4059,3.4059
5.71,1.60404,1.60404,3.327,3.327
5.72,1.62092,1.62092,3.2484,3.2484
5.73,1.6374,1.6374,3.17015,3.17015
5.74,1.65346,1.65346,3.09231,3.09231
5.75,1.6691,1.6691,3.01494,3.01494
5.76,1.68429,1.68429,2.93808,2.93808
5.77,1.69903,1.69903,2.8618,2.8618
5.78,1.71332,1.71332,2.78614,2.78614
5.79,1.72712,1.72712,2.71117,2.71117
