Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
163,97.3107,50.5066,-0.0881756,0.280037,0.620332,0.428352,1.46627e-05,1.83582e-05,0.000332683
164,97.306,50.506,-0.0874176,0.280063,0.620351,0.428683,2.63155e-05,1.86563e-05,0.000330895
165,97.3012,50.5054,-0.0866531,0.2801,0.62037,0.429012,3.70741e-05,1.91927e-05,0.000329047
166,97.2964,50.5048,-0.085883,0.280148,0.62039,0.429339,4.76539e-05,1.96695e-05,0.0003272
167,97.2916,50.5042,-0.0851063,0.280205,0.620409,0.429665,5.73695e-05,1.94907e-05,0.000325352
168,97.2868,50.5037,-0.084325,0.280272,0.620429,0.429988,6.68168e-05,1.94311e-05,0.000323564
169,97.282,50.5032,-0.0835377,0.280348,0.620448,0.43031,7.58767e-05,1.95503e-05,0.000321656
170,97.2772,50.5027,-0.082745,0.280432,0.620468,0.43063,8.45194e-05,1.9908e-05,0.000319809
171,97.2724,50.5022,-0.0819469,0.280525,0.620488,0.430948,9.27448e-05,1.9908e-05,0.000317961
172,97.2677,50.5017,-0.081144,0.280626,0.620508,0.431264,0.000100523,1.96099e-05,0.000316113
173,97.263,50.5013,-0.0803356,0.280733,0.620527,0.431578,0.000107318,1.96099e-05,0.000314236
174,97.2584,50.5008,-0.0795223,0.280847,0.620547,0.43189,0.000114262,1.95503e-05,0.000312358
175,97.2538,50.5004,-0.0787045,0.280968,0.620566,0.432201,0.00012064,1.93715e-05,0.00031051
176,97.2493,50.5,-0.0778816,0.281094,0.620585,0.432509,0.000126481,1.92523e-05,0.000308573
177,97.2448,50.4996,-0.0770546,0.281227,0.620604,0.432816,0.000132322,1.90139e-05,0.000306755
178,97.2404,50.4993,-0.0762226,0.281364,0.620623,0.433121,0.000137031,1.87755e-05,0.000304818
179,97.2361,50.499,-0.0753864,0.281505,0.620642,0.433424,0.000141799,1.8537e-05,0.00030297
180,97.2319,50.4986,-0.0745457,0.281651,0.62066,0.433725,0.000145912,1.84178e-05,0.000301033
181,97.2277,50.4983,-0.0737007,0.281801,0.620678,0.434024,0.000149995,1.80602e-05,0.000299156
182,97.2237,50.498,-0.0728519,0.281955,0.620696,0.434321,0.000153363,1.7643e-05,0.000297248
183,97.2197,50.4978,-0.071999,0.282111,0.620713,0.434617,0.000156701,1.71661e-05,0.000295341
184,97.2159,50.4975,-0.0711422,0.282271,0.62073,0.43491,0.00015986,1.67489e-05,0.000293463
185,97.2121,50.4973,-0.070282,0.282433,0.620746,0.435202,0.000161767,1.68085e-05,0.000291556
186,97.2084,50.4971,-0.0694176,0.282597,0.620763,0.435491,0.000164241,1.63913e-05,0.000289589
187,97.2049,50.4969,-0.0685497,0.282763,0.620779,0.435779,0.00016588,1.57356e-05,0.000287712
188,97.2014,50.4967,-0.0676785,0.282931,0.620794,0.436065,0.000167429,1.51992e-05,0.000285804
189,97.1981,50.4965,-0.0668041,0.283099,0.620809,0.436349,0.000168741,1.4782e-05,0.000283927
190,97.1949,50.4964,-0.065926,0.283269,0.620823,0.436631,0.000169367,1.46031e-05,0.00028193
191,97.1917,50.4963,-0.0650452,0.283439,0.620838,0.436911,0.00017038,1.43051e-05,0.000280082
192,97.1887,50.4961,-0.0641605,0.28361,0.620851,0.437189,0.000170559,1.37687e-05,0.000278085
193,97.1858,50.496,-0.0632732,0.28378,0.620864,0.437465,0.000170588,1.31726e-05,0.000276208
194,97.1831,50.4959,-0.0623829,0.283951,0.620877,0.437739,0.000170439,1.26362e-05,0.000274241
195,97.1804,50.4958,-0.0614902,0.284121,0.620889,0.438012,0.000170022,1.19805e-05,0.000272393
196,97.1779,50.4958,-0.0605946,0.28429,0.620901,0.438282,0.000169396,1.16825e-05,0.000270426
