t,y,error,u
3.380000,1.079184,-0.076086,0.715890
3.390000,1.082188,-0.079184,0.712237
3.400000,1.085099,-0.082188,0.708726
3.410000,1.087918,-0.085099,0.705358
3.420000,1.090645,-0.087918,0.702132
3.430000,1.093282,-0.090645,0.699046
3.440000,1.095828,-0.093282,0.696101
3.450000,1.098286,-0.095828,0.693294
3.460000,1.100654,-0.098286,0.690626
3.470000,1.102935,-0.100654,0.688095
3.480000,1.105129,-0.102935,0.685700
3.490000,1.107237,-0.105129,0.683441
3.500000,1.109260,-0.107237,0.681317
3.510000,1.111198,-0.109260,0.679326
3.520000,1.113052,-0.111198,0.677468
3.530000,1.114823,-0.113052,0.675741
3.540000,1.116513,-0.114823,0.674145
3.550000,1.118121,-0.116513,0.672678
3.560000,1.119649,-0.118121,0.671339
3.570000,1.121098,-0.119649,0.670127
3.580000,1.122468,-0.121098,0.669041
3.590000,1.123761,-0.122468,0.668080
3.600000,1.124976,-0.123761,0.667242
3.610000,1.126116,-0.124976,0.666527
3.620000,1.127182,-0.126116,0.665932
3.630000,1.128173,-0.127182,0.665457
3.640000,1.129091,-0.128173,0.665101
3.650000,1.129937,-0.129091,0.664862
3.660000,1.130712,-0.129937,0.664738
3.670000,1.131417,-0.130712,0.664729
3.680000,1.132053,-0.131417,0.664834
3.690000,1.132620,-0.132053,0.665050
3.700000,1.133120,-0.132620,0.665376
3.710000,1.133554,-0.133120,0.665811
3.720000,1.133922,-0.133554,0.666354
3.730000,1.134226,-0.133922,0.667002
3.740000,1.134467,-0.134226,0.667756
3.750000,1.134645,-0.134467,0.668613
3.760000,1.134761,-0.134645,0.669571
3.770000,1.134817,-0.134761,0.670630
3.780000,1.134814,-0.134817,0.671787
3.790000,1.134752,-0.134814,0.673042
3.800000,1.134633,-0.134752,0.674392
3.810000,1.134457,-0.134633,0.675837
3.820000,1.134225,-0.134457,0.677374
3.830000,1.133940,-0.134225,0.679003
3.840000,1.133600,-0.133940,0.680721
3.850000,1.133208,-0.133600,0.682527
3.860000,1.132764,-0.133208,0.684420
3.870000,1.132270,-0.132764,0.686398
3.880000,1.131727,-0.132270,0.688459
3.890000,1.131134,-0.131727,0.690603
3.900000,1.130495,-0.131134,0.692826
3.910000,1.129808,-0.130495,0.695128
3.920000,1.129076,-0.129808,0.697508
3.930000,1.128300,-0.129076,0.699963
3.940000,1.127479,-0.128300,0.702492
3.950000,1.126616,-0.127479,0.705093
3.960000,1.125712,-0.126616,0.707766
3.970000,1.124766,-0.125712,0.710507
3.980000,1.123781,-0.124766,0.713317
3.990000,1.122758,-0.123781,0.716192
4.000000,1.121696,-0.122758,0.719132
4.010000,1.120598,-0.121696,0.722135
4.020000,1.119463,-0.120598,0.725199
4.030000,1.118294,-0.119463,0.728323
4.040000,1.117091,-0.118294,0.731506
4.050000,1.115855,-0.117091,0.734745
4.060000,1.114587,-0.115855,0.738039
4.070000,1.113287,-0.114587,0.741387
4.080000,1.111958,-0.113287,0.744786
4.090000,1.110599,-0.111958,0.748236
4.100000,1.109212,-0.110599,0.751735
4.110000,1.107797,-0.109212,0.755282
4.120000,1.106356,-0.107797,0.758874
4.130000,1.104889,-0.106356,0.762510
4.140000,1.103397,-0.104889,0.766190
4.150000,1.101882,-0.103397,0.769910
4.160000,1.100343,-0.101882,0.773670
4.170000,1.098783,-0.100343,0.777469
4.180000,1.097201,-0.098783,0.781304
4.190000,1.095599,-0.097201,0.785175
4.200000,1.093978,-0.095599,0.789079
4.210000,1.092337,-0.093978,0.793016
4.220000,1.090679,-0.092337,0.796983
4.230000,1.089005,-0.090679,0.800980
4.240000,1.087313,-0.089005,0.805005
4.250000,1.085607,-0.087313,0.809057
4.260000,1.083886,-0.085607,0.813133
4.270000,1.082152,-0.083886,0.817234
4.280000,1.080404,-0.082152,0.821357
4.290000,1.078645,-0.080404,0.825500
4.300000,1.076874,-0.078645,0.829664
4.310000,1.075092,-0.076874,0.833845
4.320000,1.073301,-0.075092,0.838044
4.330000,1.071500,-0.073301,0.842258
4.340000,1.069692,-0.071500,0.846486
4.350000,1.067876,-0.069692,0.850727
4.360000,1.066053,-0.067876,0.854980
4.370000,1.064224,-0.066053,0.859243
4.380000,1.062389,-0.064224,0.863516
4.390000,1.060550,-0.062389,0.867796
4.400000,1.058707,-0.060550,0.872082
4.410000,1.056860,-0.058707,0.876374
4.420000,1.055011,-0.056860,0.880670
4.430000,1.053160,-0.055011,0.884969
4.440000,1.051308,-0.053160,0.889270
4.450000,1.049455,-0.051308,0.893571
4.460000,1.047602,-0.049455,0.897872
4.470000,1.045749,-0.047602,0.902171
4.480000,1.043898,-0.045749,0.906467
4.490000,1.042049,-0.043898,0.910759
4.500000,1.040202,-0.042049,0.915046
4.510000,1.038358,-0.040202,0.919326
4.520000,1.036518,-0.038358,0.923600
4.530000,1.034681,-0.036518,0.927865
4.540000,1.032850,-0.034681,0.932121
4.550000,1.031024,-0.032850,0.936366
4.560000,1.029204,-0.031024,0.940600
4.570000,1.027390,-0.029204,0.944822
4.580000,1.025583,-0.027390,0.949030
4.590000,1.023783,-0.025583,0.953224
4.600000,1.021991,-0.023783,0.957403
4.610000,1.020208,-0.021991,0.961566
4.620000,1.018434,-0.020208,0.965711
4.630000,1.016669,-0.018434,0.969839
4.640000,1.014913,-0.016669,0.973948
4.650000,1.013168,-0.014913,0.978037
4.660000,1.011434,-0.013168,0.982105
4.670000,1.009711,-0.011434,0.986152
4.680000,1.008000,-0.009711,0.990177
4.690000,1.006300,-0.008000,0.994179
4.700000,1.004613,-0.006300,0.998157
4.710000,1.002939,-0.004613,1.002111
4.720000,1.001278,-0.002939,1.006039
4.730000,0.999630,-0.001278,1.009941
4.740000,0.997996,0.000370,1.013817
4.750000,0.996377,0.002004,1.017665
4.760000,0.994772,0.003623,1.021485
4.770000,0.993183,0.005228,1.025276
4.780000,0.991608,0.006817,1.029038
4.790000,0.990049,0.008392,1.032770
4.800000,0.988507,0.009951,1.036471
4.810000,0.986980,0.011493,1.040141
4.820000,0.985470,0.013020,1.043779
4.830000,0.983977,0.014530,1.047385
4.840000,0.982501,0.016023,1.050958
4.850000,0.981042,0.017499,1.054497
4.860000,0.979600,0.018958,1.058002
4.870000,0.978177,0.020400,1.061473
4.880000,0.976772,0.021823,1.064908
4.890000,0.975385,0.023228,1.068309
4.900000,0.974016,0.024615,1.071673
4.910000,0.972667,0.025984,1.075001
4.920000,0.971336,0.027333,1.078292
4.930000,0.970024,0.028664,1.081546
4.940000,0.968732,0.029976,1.084762
4.950000,0.967459,0.031268,1.087941
4.960000,0.966206,0.032541,1.091081
4.970000,0.964973,0.033794,1.094182
4.980000,0.963760,0.035027,1.097245
4.990000,0.962566,0.036240,1.100268
5.000000,0.961394,0.037434,1.103251
5.010000,0.960241,0.038606,1.106195
5.020000,0.959109,0.039759,1.109098
5.030000,0.957998,0.040891,1.111961
5.040000,0.956907,0.042002,1.114783
5.050000,0.955837,0.043093,1.117565
5.060000,0.954788,0.044163,1.120305
5.070000,0.953760,0.045212,1.123004
5.080000,0.952753,0.046240,1.125661
5.090000,0.951767,0.047247,1.128277
5.100000,0.950802,0.048233,1.130851
5.110000,0.949859,0.049198,1.133383
5.120000,0.948936,0.050141,1.135873
5.130000,0.948036,0.051064,1.138321
5.140000,0.947156,0.051964,1.140726
5.150000,0.946298,0.052844,1.143089
5.160000,0.945461,0.053702,1.145409
5.170000,0.944645,0.054539,1.147687
5.180000,0.943851,0.055355,1.149922
5.190000,0.943078,0.056149,1.152114
5.200000,0.942327,0.056922,1.154264
5.210000,0.941596,0.057673,1.156371
5.220000,0.940888,0.058404,1.158436
5.230000,0.940200,0.059112,1.160457
5.240000,0.939534,0.059800,1.162436
5.250000,0.938888,0.060466,1.164373
5.260000,0.938264,0.061112,1.166266
5.270000,0.937661,0.061736,1.168117
5.280000,0.937080,0.062339,1.169926
5.290000,0.936519,0.062920,1.171692
5.300000,0.935979,0.063481,1.173416
5.310000,0.935459,0.064021,1.175098
5.320000,0.934961,0.064541,1.176737
5.330000,0.934483,0.065039,1.178335
5.340000,0.934026,0.065517,1.179890
5.350000,0.933589,0.065974,1.181404
5.360000,0.933172,0.066411,1.182876
5.370000,0.932776,0.066828,1.184307
5.380000,0.932400,0.067224,1.185696
5.390000,0.932044,0.067600,1.187045
5.400000,0.931708,0.067956,1.188352
5.410000,0.931391,0.068292,1.189619
5.420000,0.931094,0.068609,1.190845
5.430000,0.930817,0.068906,1.192031
5.440000,0.930559,0.069183,1.193176
5.450000,0.930320,0.069441,1.194282
5.460000,0.930101,0.069680,1.195348
5.470000,0.929900,0.069899,1.196375
5.480000,0.929718,0.070100,1.197363
5.490000,0.929555,0.070282,1.198312
5.500000,0.929410,0.070445,1.199222
5.510000,0.929283,0.070590,1.200093
5.520000,0.929175,0.070717,1.200927
5.530000,0.929084,0.070825,1.201723
5.540000,0.929011,0.070916,1.202481
5.550000,0.928956,0.070989,1.203203
5.560000,0.928918,0.071044,1.203887
5.570000,0.928898,0.071082,1.204535
5.580000,0.928894,0.071102,1.205146
5.590000,0.928908,0.071106,1.205722
5.600000,0.928938,0.071092,1.206262
5.610000,0.928984,0.071062,1.206766
5.620000,0.929047,0.071016,1.207236
5.630000,0.929126,0.070953,1.207671
5.640000,0.929220,0.070874,1.208072
5.650000,0.929331,0.070780,1.208439
5.660000,0.929457,0.070669,1.208773
5.670000,0.929598,0.070543,1.209073
5.680000,0.929754,0.070402,1.209341
5.690000,0.929925,0.070246,1.209576
5.700000,0.930110,0.070075,1.209779
5.710000,0.930310,0.069890,1.209951
5.720000,0.930524,0.069690,1.210091
5.730000,0.930752,0.069476,1.210201
5.740000,0.930994,0.069248,1.210280
5.750000,0.931250,0.069006,1.210328
5.760000,0.931518,0.068750,1.210348
5.770000,0.931800,0.068482,1.210338
5.780000,0.932095,0.068200,1.210299
5.790000,0.932402,0.067905,1.210231
5.800000,0.932721,0.067598,1.210136
5.810000,0.933053,0.067279,1.210013
5.820000,0.933397,0.066947,1.209862
5.830000,0.933753,0.066603,1.209685
5.840000,0.934120,0.066247,1.209482
5.850000,0.934498,0.065880,1.209252
5.860000,0.934887,0.065502,1.208997
5.870000,0.935287,0.065113,1.208717
5.880000,0.935698,0.064713,1.208412
5.890000,0.936119,0.064302,1.208083
5.900000,0.936550,0.063881,1.207730
5.910000,0.936991,0.063450,1.207353
5.920000,0.937442,0.063009,1.206954
5.930000,0.937902,0.062558,1.206532
5.940000,0.938372,0.062098,1.206088
5.950000,0.938850,0.061628,1.205622
5.960000,0.939337,0.061150,1.205135
5.970000,0.939832,0.060663,1.204627
5.980000,0.940336,0.060168,1.204099
5.990000,0.940848,0.059664,1.203551
6.000000,0.941368,0.059152,1.202983
6.010000,0.941895,0.058632,1.202396
6.020000,0.942430,0.058105,1.201790
6.030000,0.942972,0.057570,1.201166
6.040000,0.943520,0.057028,1.200525
6.050000,0.944076,0.056480,1.199866
6.060000,0.944637,0.055924,1.199190
6.070000,0.945206,0.055363,1.198497
6.080000,0.945780,0.054794,1.197788
6.090000,0.946360,0.054220,1.197064
6.100000,0.946945,0.053640,1.196325
6.110000,0.947536,0.053055,1.195570
6.120000,0.948132,0.052464,1.194801
6.130000,0.948733,0.051868,1.194019
6.140000,0.949338,0.051267,1.193222
6.150000,0.949948,0.050662,1.192413
6.160000,0.950563,0.050052,1.191590
6.170000,0.951181,0.049437,1.190756
6.180000,0.951803,0.048819,1.189909
6.190000,0.952429,0.048197,1.189051
6.200000,0.953059,0.047571,1.188182
6.210000,0.953691,0.046941,1.187302
6.220000,0.954327,0.046309,1.186412
6.230000,0.954965,0.045673,1.185512
6.240000,0.955607,0.045035,1.184602
6.250000,0.956250,0.044393,1.183683
6.260000,0.956896,0.043750,1.182756
6.270000,0.957544,0.043104,1.181820
6.280000,0.958193,0.042456,1.180876
6.290000,0.958845,0.041807,1.179925
6.300000,0.959497,0.041155,1.178966
6.310000,0.960152,0.040503,1.178001
6.320000,0.960807,0.039848,1.177029
6.330000,0.961463,0.039193,1.176051
6.340000,0.962120,0.038537,1.175068
6.350000,0.962777,0.037880,1.174079
6.360000,0.963435,0.037223,1.173085
6.370000,0.964092,0.036565,1.172086
6.380000,0.964750,0.035908,1.171083
6.390000,0.965408,0.035250,1.170077
6.400000,0.966066,0.034592,1.169066
6.410000,0.966723,0.033934,1.168053
6.420000,0.967379,0.033277,1.167036
6.430000,0.968034,0.032621,1.166017
6.440000,0.968689,0.031966,1.164996
6.450000,0.969342,0.031311,1.163973
6.460000,0.969994,0.030658,1.162948
6.470000,0.970645,0.030006,1.161922
6.480000,0.971294,0.029355,1.160895
6.490000,0.971941,0.028706,1.159867
6.500000,0.972587,0.028059,1.158839
6.510000,0.973230,0.027413,1.157811
6.520000,0.973871,0.026770,1.156783
6.530000,0.974510,0.026129,1.155756
6.540000,0.975146,0.025490,1.154730
6.550000,0.975780,0.024854,1.153705
6.560000,0.976411,0.024220,1.152681
6.570000,0.977039,0.023589,1.151659
6.580000,0.977665,0.022961,1.150639
6.590000,0.978287,0.022335,1.149622
6.600000,0.978906,0.021713,1.148606
6.610000,0.979521,0.021094,1.147594
6.620000,0.980133,0.020479,1.146584
6.630000,0.980742,0.019867,1.145578
6.640000,0.981347,0.019258,1.144576
6.650000,0.981948,0.018653,1.143577
6.660000,0.982545,0.018052,1.142582
6.670000,0.983138,0.017455,1.141592
6.680000,0.983727,0.016862,1.140606
6.690000,0.984311,0.016273,1.139624
6.700000,0.984892,0.015689,1.138648
6.710000,0.985467,0.015108,1.137677
6.720000,0.986039,0.014533,1.136711
6.730000,0.986606,0.013961,1.135751
6.740000,0.987168,0.013394,1.134797
6.750000,0.987725,0.012832,1.133848
