Time,y_stack,y_A,y_B
43.7,0.988413,0.999944,0.977389
43.8,0.988533,0.999946,0.977623
43.9,0.988651,0.999947,0.977855
44,0.988769,0.999948,0.978084
44.1,0.988885,0.99995,0.978311
44.2,0.989001,0.999951,0.978536
44.3,0.989115,0.999952,0.978758
44.4,0.989227,0.999953,0.978978
44.5,0.989339,0.999955,0.979196
44.6,0.989449,0.999956,0.979412
44.7,0.989559,0.999957,0.979625
44.8,0.989667,0.999958,0.979836
44.9,0.989774,0.999959,0.980045
45,0.98988,0.99996,0.980252
45.1,0.989985,0.999961,0.980457
45.2,0.990089,0.999962,0.980659
45.3,0.990191,0.999963,0.980859
45.4,0.990293,0.999964,0.981058
45.5,0.990393,0.999965,0.981254
45.6,0.990493,0.999966,0.981448
45.7,0.990591,0.999966,0.98164
45.8,0.990689,0.999967,0.981831
45.9,0.990785,0.999968,0.982019
46,0.990881,0.999969,0.982205
46.1,0.990975,0.99997,0.98239
46.2,0.991069,0.99997,0.982572
46.3,0.991161,0.999971,0.982753
46.4,0.991253,0.999972,0.982931
46.5,0.991344,0.999973,0.983108
46.6,0.991433,0.999973,0.983283
46.7,0.991522,0.999974,0.983456
46.8,0.99161,0.999975,0.983628
46.9,0.991697,0.999975,0.983797
47,0.991783,0.999976,0.983965
47.1,0.991868,0.999976,0.984132
47.2,0.991952,0.999977,0.984296
47.3,0.992036,0.999978,0.984459
47.4,0.992118,0.999978,0.98462
47.5,0.9922,0.999979,0.984779
47.6,0.992281,0.999979,0.984937
47.7,0.992361,0.99998,0.985093
47.8,0.99244,0.99998,0.985247
47.9,0.992518,0.999981,0.9854
48,0.992596,0.999981,0.985551
48.1,0.992672,0.999982,0.985701
48.2,0.992748,0.999982,0.985849
48.3,0.992823,0.999983,0.985996
48.4,0.992898,0.999983,0.986141
48.5,0.992971,0.999983,0.986285
48.6,0.993044,0.999984,0.986427
48.7,0.993116,0.999984,0.986567
48.8,0.993188,0.999985,0.986706
48.9,0.993258,0.999985,0.986844
49,0.993328,0.999985,0.986981
49.1,0.993397,0.999986,0.987115
49.2,0.993466,0.999986,0.987249
49.3,0.993533,0.999986,0.987381
49.4,0.9936,0.999987,0.987512
49.5,0.993667,0.999987,0.987641
49.6,0.993732,0.999987,0.987769
49.7,0.993797,0.999988,0.987896
49.8,0.993861,0.999988,0.988021
49.9,0.993925,0.999988,0.988145
