Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
140,140.044,128.127,-0.144719,0.597402,0.893671,0.788295,-0.000457585,-0.0001809,0.000180066,-0.0271572,0.0324353,-0.00298686,0.595732,0.894457,0.788292
141,140.046,128.107,-0.144934,0.596699,0.893298,0.788531,-0.000703394,-0.000373662,0.00023675,-0.0148517,0.0208459,-0.0061798,0.595741,0.894458,0.788292
142,140.048,128.086,-0.145343,0.597061,0.894561,0.788308,0.000361919,0.0012635,-0.000223339,-0.0203355,-0.0113551,-0.000337989,0.595749,0.894459,0.788292
143,140.049,128.06,-0.144393,0.597417,0.895143,0.788133,0.000356734,0.00058192,-0.000175118,-0.0262928,-0.0170056,0.00299604,0.595756,0.894459,0.788291
144,140.05,128.061,-0.143904,0.597003,0.894371,0.78829,-0.000414789,-0.000771761,0.000156581,-0.0195281,0.00063388,-0.000699807,0.595763,0.89446,0.788291
145,140.051,128.073,-0.144516,0.597081,0.894608,0.788247,7.80225e-05,0.000236332,-4.30346e-05,-0.0207366,-0.00526283,0.000401015,0.59577,0.89446,0.788291
146,140.052,128.069,-0.144329,0.597258,0.895062,0.788114,0.000177443,0.000454247,-0.000132561,-0.0236157,-0.00985572,0.00300022,0.595776,0.894461,0.788291
147,140.052,128.07,-0.143971,0.596605,0.894153,0.788327,-0.000653207,-0.000908434,0.000212967,-0.0127269,0.00761243,-0.00157267,0.595782,0.894461,0.788291
148,140.053,128.079,-0.144736,0.596078,0.893596,0.788537,-0.000526845,-0.000557959,0.000210464,-0.00372014,0.00790248,-0.00512159,0.595788,0.894462,0.788291
149,140.054,128.071,-0.145236,0.595726,0.893598,0.788632,-0.000351965,2.86102e-06,9.43542e-05,0.002578,-0.00382296,-0.00591465,0.595793,0.894462,0.788291
150,140.054,128.053,-0.145318,0.595335,0.893555,0.788727,-0.000390649,-4.35114e-05,9.48906e-05,0.00950962,-0.0132231,-0.00683764,0.595799,0.894463,0.788291
151,140.054,128.036,-0.145444,0.594529,0.892932,0.788994,-0.000806153,-0.000622571,0.000267446,0.023424,-0.0165293,-0.0110386,0.595803,0.894463,0.788291
152,140.054,128.021,-0.146067,0.593872,0.892804,0.789158,-0.000657082,-0.000128746,0.000163555,0.0350363,-0.0301814,-0.0127956,0.595808,0.894463,0.788291
153,140.053,127.995,-0.146326,0.593681,0.893322,0.789131,-0.000191271,0.000518382,-2.67625e-05,0.038823,-0.0509906,-0.0109142,0.595812,0.894464,0.788291
154,140.052,127.97,-0.146039,0.594672,0.895017,0.788696,0.000990868,0.00169474,-0.000435054,0.0224277,-0.0775437,-0.00192706,0.595816,0.894464,0.788291
155,140.05,127.956,-0.144673,0.594809,0.89485,0.788603,0.000137329,-0.000166535,-9.25064e-05,0.0197276,-0.0572979,-0.00156139,0.59582,0.894464,0.788291
