Time,dx1,dx2,dx3,u1,u2,u3
251,1.03168e-05,2.99184e-06,2.16982e-10,0.119259,0.38063,0.12262
252,9.7716e-06,2.83373e-06,2.05515e-10,0.119259,0.38063,0.12262
253,9.2552e-06,2.68397e-06,1.94655e-10,0.119259,0.38063,0.12262
254,8.76608e-06,2.54213e-06,1.84368e-10,0.119259,0.38063,0.12262
255,8.30281e-06,2.40778e-06,1.74625e-10,0.11926,0.38063,0.12262
256,7.86403e-06,2.28054e-06,1.65396e-10,0.11926,0.38063,0.12262
257,7.44843e-06,2.16002e-06,1.56655e-10,0.11926,0.38063,0.12262
258,7.0548e-06,2.04586e-06,1.48377e-10,0.11926,0.38063,0.12262
259,6.68197e-06,1.93775e-06,1.40535e-10,0.11926,0.38063,0.12262
260,6.32885e-06,1.83534e-06,1.33109e-10,0.11926,0.38063,0.12262
261,5.99438e-06,1.73835e-06,1.26074e-10,0.11926,0.38063,0.12262
262,5.67759e-06,1.64648e-06,1.19412e-10,0.11926,0.38063,0.12262
263,5.37754e-06,1.55947e-06,1.13101e-10,0.11926,0.38063,0.12262
264,5.09335e-06,1.47705e-06,1.07124e-10,0.11926,0.38063,0.12262
265,4.82418e-06,1.39899e-06,1.01463e-10,0.11926,0.38063,0.12262
266,4.56924e-06,1.32506e-06,9.61007e-11,0.11926,0.38063,0.12262
267,4.32776e-06,1.25503e-06,9.1022e-11,0.11926,0.38063,0.12262
268,4.09905e-06,1.18871e-06,8.62118e-11,0.11926,0.38063,0.12262
269,3.88242e-06,1.12589e-06,8.16557e-11,0.11926,0.38063,0.12262
270,3.67725e-06,1.06639e-06,7.73404e-11,0.11926,0.38063,0.12262
271,3.48291e-06,1.01003e-06,7.32532e-11,0.11926,0.38063,0.12262
272,3.29885e-06,9.56653e-07,6.93819e-11,0.11926,0.38063,0.12262
273,3.12451e-06,9.06096e-07,6.57153e-11,0.11926,0.38063,0.12262
274,2.95939e-06,8.58211e-07,6.22424e-11,0.11926,0.38063,0.12262
275,2.80299e-06,8.12857e-07,5.8953e-11,0.11926,0.38063,0.12262
276,2.65486e-06,7.69899e-07,5.58375e-11,0.11926,0.38063,0.12262
277,2.51456e-06,7.29212e-07,5.28866e-11,0.11926,0.38063,0.12262
278,2.38167e-06,6.90675e-07,5.00917e-11,0.11926,0.38063,0.12262
279,2.2558e-06,6.54174e-07,4.74445e-11,0.11926,0.38063,0.12262
280,2.13659e-06,6.19603e-07,4.49372e-11,0.11926,0.38063,0.12262
281,2.02368e-06,5.86858e-07,4.25624e-11,0.11926,0.38063,0.12262
282,1.91673e-06,5.55844e-07,4.0313e-11,0.11926,0.38063,0.12262
283,1.81543e-06,5.26469e-07,3.81826e-11,0.11926,0.38063,0.12262
284,1.71949e-06,4.98646e-07,3.61647e-11,0.11926,0.38063,0.12262
285,1.62862e-06,4.72294e-07,3.42535e-11,0.11926,0.38063,0.12262
286,1.54255e-06,4.47334e-07,3.24433e-11,0.11926,0.38063,0.12262
287,1.46103e-06,4.23694e-07,3.07287e-11,0.11926,0.38063,0.12262
288,1.38382e-06,4.01302e-07,2.91048e-11,0.11926,0.38063,0.12262
289,1.31069e-06,3.80095e-07,2.75667e-11,0.11926,0.38063,0.12262
290,1.24142e-06,3.60007e-07,2.61099e-11,0.11926,0.38063,0.12262
291,1.17582e-06,3.40982e-07,2.473e-11,0.11926,0.38063,0.12262
292,1.11368e-06,3.22962e-07,2.34231e-11,0.11926,0.38063,0.12262
293,1.05482e-06,3.05894e-07,2.21852e-11,0.11926,0.38063,0.12262
294,9.99077e-07,2.89728e-07,2.10128e-11,0.11926,0.38063,0.12262
295,9.46278e-07,2.74417e-07,1.99023e-11,0.11926,0.38063,0.12262
296,8.96269e-07,2.59914e-07,1.88505e-11,0.11926,0.38063,0.12262
297,8.48903e-07,2.46179e-07,1.78543e-11,0.11926,0.38063,0.12262
298,8.04041e-07,2.33169e-07,1.69108e-11,0.11926,0.38063,0.12262
299,7.61549e-07,2.20846e-07,1.6017e-11,0.11926,0.38063,0.12262
300,7.21303e-07,2.09175e-07,1.51706e-11,0.11926,0.38063,0.12262
301,6.83184e-07,1.98121e-07,1.43688e-11,0.11926,0.38063,0.12262
302,6.47079e-07,1.8765e-07,1.36095e-11,0.11926,0.38063,0.12262
303,6.12883e-07,1.77734e-07,1.28903e-11,0.11926,0.38063,0.12262
304,5.80493e-07,1.68341e-07,1.2209e-11,0.11926,0.38063,0.12262
305,5.49815e-07,1.59444e-07,1.15638e-11,0.11926,0.38063,0.12262
306,5.20759e-07,1.51018e-07,1.09527e-11,0.11926,0.38063,0.12262
307,4.93238e-07,1.43037e-07,1.03739e-11,0.11926,0.38063,0.12262
308,4.67172e-07,1.35478e-07,9.82562e-12,0.11926,0.38063,0.12262
309,4.42483e-07,1.28318e-07,9.30639e-12,0.11926,0.38063,0.12262
310,4.19098e-07,1.21537e-07,8.81457e-12,0.11926,0.38063,0.12262
311,3.9695e-07,1.15114e-07,8.34874e-12,0.11926,0.38063,0.12262
312,3.75972e-07,1.0903e-07,7.90755e-12,0.11926,0.38063,0.12262
